,,Total,,Total Consumer,,Usership,,,,,,Suatainability advocacy,,,,,,,,CRC/ CPN awareness,,,,,,,,,,NPS,,,,,,,,Gender,,,,,,Age,,,,,,,,,,Region,,,,,,,,,,,,,,Income,,,,,,,,Total Investor,,,,Investment,,,,,,highest proportion investment,,,,,,,,Industry,,,,,,Suatainability advocacy,,,,,,CRC/ CPN awareness,,,,,,,,,,NPS,,,,,,,,Gender,,,,,,Age,,,,,,,,,,,,Region,,,,,,,,,,,,,,Income,,,,,,,
,,Total,,Total Consumer,,Total,,CRC user,,Non CRC user,,Total,,Will buy the product/service even if it is more expensive than the regular product/service,,Will buy the product/service even if it is much more expensive than the regular product/service,,Will buy the product/service regardless of the price,,Total,,CRC Aware,,CPN Aware,,Both CRC and CPN Aware,,Non-aware,,Total,,Promoter,,Passive,,Detector,,Total,,Male,,Female,,Total,,25-29 yrs,,30-39 yrs,,40-49 yrs,,50-55 yrs,,Total,,GBKK,,UPC [Net],,Central,,North,,South,,Northeast,,Total,,A/A+,,B,,C,,Total Investor,,2,,Total,,CRC invester,,CRC non invester,,Total,,PTT,,CPALL,,OR,,Total,,Retail,,Non retail,,Total,,4,,5,,Total,,CRC Aware,,CPN Aware,,Both CRC and CPN Aware,,Non-aware,,Total,,Promoter,,Passive,,Detector,,Total,,Male,,Female,,Total,,25-29 yrs,,30-39 yrs,,40-49 yrs,,50-55 yrs,,>55 yrs,,Total,,GBKK,,UPC [Net],,Central,,North,,South,,Northeast,,Total,,A/A+,,B,,C,
,,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N
,I have never traded stocks before.,41%,265,66%,265,66%,139,63%,106,79%,33,53%,103,53%,40,59%,34,48%,29,66%,265,59%,30,66%,35,68%,109,67%,91,66%,139,63%,50,65%,50,72%,39,66%,265,64%,128,69%,137,66%,265,57%,40,61%,78,71%,93,76%,54,66%,265,63%,126,70%,139,84%,41,64%,32,78%,40,52%,26,66%,265,56%,28,62%,63,70%,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66%,265,63%,126,70%,139,84%,41,64%,32,78%,40,52%,26,,,,,,,,
S3A) How long have you had experience in trading stocks on the Stock Exchange of Thailand (SET)?,Total,100%,385,100%,135,100%,72,100%,63,100%,9,100%,91,100%,35,100%,24,100%,32,100%,135,100%,21,100%,18,100%,51,100%,45,100%,72,100%,30,100%,27,100%,15,100%,135,100%,72,100%,63,100%,135,100%,30,100%,50,100%,38,100%,17,100%,135,100%,74,100%,61,100%,8,100%,18,100%,11,100%,24,100%,135,100%,22,100%,38,100%,75,,,100%,250,100%,250,100%,32,100%,218,100%,155,100%,69,100%,58,100%,28,100%,250,100%,142,100%,108,100%,219,100%,65,100%,154,100%,250,100%,21,100%,56,100%,96,100%,77,100%,117,100%,54,100%,46,100%,17,100%,250,100%,125,100%,125,100%,250,100%,30,100%,91,100%,65,100%,36,100%,28,100%,135,100%,74,100%,61,100%,8,100%,18,100%,11,100%,24,100%,250,100%,83,100%,107,100%,60
,Not more than 6 months,9%,33,24%,33,22%,16,21%,13,33%,3,26%,24,17%,6,38%,9,28%,9,24%,33,14%,3,28%,5,25%,13,27%,12,22%,16,10%,3,26%,7,40%,6,24%,33,24%,17,25%,16,24%,33,30%,9,28%,14,8%,3,41%,7,24%,33,31%,23,16%,10,25%,2,17%,3,,,21%,5,24%,33,45%,10,21%,8,20%,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24%,33,31%,23,16%,10,25%,2,17%,3,,,21%,5,,,,,,,,
,Not more than 1 year,11%,42,31%,42,28%,20,29%,18,22%,2,29%,26,34%,12,17%,4,31%,10,31%,42,33%,7,22%,4,25%,13,40%,18,28%,20,33%,10,19%,5,33%,5,31%,42,33%,24,29%,18,31%,42,40%,12,30%,15,34%,13,12%,2,31%,42,31%,23,31%,19,25%,2,28%,5,45%,5,29%,7,31%,42,27%,6,24%,9,36%,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31%,42,31%,23,31%,19,25%,2,28%,5,45%,5,29%,7,,,,,,,,
,More than 1 year but less than 2 years,16%,60,44%,60,50%,36,51%,32,44%,4,45%,41,49%,17,46%,11,41%,13,44%,60,52%,11,50%,9,49%,25,33%,15,50%,36,57%,17,56%,15,27%,4,44%,60,43%,31,46%,29,44%,60,30%,9,42%,21,58%,22,47%,8,44%,60,38%,28,52%,32,50%,4,56%,10,55%,6,50%,12,44%,60,27%,6,55%,21,44%,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44%,60,38%,28,52%,32,50%,4,56%,10,55%,6,50%,12,,,,,,,,
,2 years or more,65%,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,250,100%,250,100%,32,100%,218,100%,155,100%,69,100%,58,100%,28,100%,250,100%,142,100%,108,100%,219,100%,65,100%,154,100%,250,100%,21,100%,56,100%,96,100%,77,100%,117,100%,54,100%,46,100%,17,100%,250,100%,125,100%,125,100%,250,100%,30,100%,91,100%,65,100%,36,100%,28,,,,,,,,,,,,,,,100%,250,100%,83,100%,107,100%,60
S3B) Do you currently own or have traded stocks in which of the following industries,Total,100%,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,250,100%,250,100%,32,100%,218,100%,155,100%,69,100%,58,100%,28,100%,250,100%,142,100%,108,100%,219,100%,65,100%,154,100%,250,100%,21,100%,56,100%,96,100%,77,100%,117,100%,54,100%,46,100%,17,100%,250,100%,125,100%,125,100%,250,100%,30,100%,91,100%,65,100%,36,100%,28,,,,,,,,,,,,,,,100%,250,100%,83,100%,107,100%,60
,"Energy and Utilities, Mining",58%,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58%,144,58%,144,66%,21,56%,123,63%,97,68%,47,47%,27,82%,23,58%,144,57%,81,58%,63,53%,117,63%,41,49%,76,58%,144,71%,15,34%,19,69%,66,57%,44,69%,81,65%,35,65%,30,94%,16,58%,144,64%,80,51%,64,58%,144,70%,21,51%,46,51%,33,75%,27,61%,17,,,,,,,,,,,,,,,58%,144,69%,57,51%,55,53%,32
,"Fashion, Kitchen and Office Supplies, Personal Care and Healthcare Products",57%,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57%,142,57%,142,63%,20,56%,122,57%,89,52%,36,66%,38,54%,15,57%,142,100%,142,,,58%,127,49%,32,62%,95,57%,142,33%,7,68%,38,56%,54,56%,43,52%,61,56%,30,46%,21,59%,10,57%,142,51%,64,62%,78,57%,142,67%,20,53%,48,63%,41,44%,16,61%,17,,,,,,,,,,,,,,,57%,142,45%,37,65%,70,58%,35
,Agriculture and Food Industry,49%,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49%,123,49%,123,53%,17,49%,106,52%,80,52%,36,48%,28,57%,16,49%,123,60%,85,35%,38,51%,111,48%,31,52%,80,49%,123,38%,8,48%,27,55%,53,45%,35,52%,61,52%,28,50%,23,59%,10,49%,123,49%,61,50%,62,49%,123,60%,18,48%,44,43%,28,56%,20,46%,13,,,,,,,,,,,,,,,49%,123,46%,38,56%,60,42%,25
,"Financial Services, Banking, Investment and Securities, Insurance and Life Assurance",65%,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65%,163,65%,163,78%,25,63%,138,63%,98,65%,45,66%,38,54%,15,65%,163,72%,102,56%,61,65%,143,71%,46,63%,97,65%,163,71%,15,63%,35,75%,72,53%,41,74%,87,74%,40,78%,36,65%,11,65%,163,70%,87,61%,76,65%,163,73%,22,57%,52,63%,41,72%,26,79%,22,,,,,,,,,,,,,,,65%,163,63%,52,70%,75,60%,36
,"Automotive, Industrial and Machinery, Packaging, Paper and Printing, Petrochemical and Chemical Products, Iron and Steel",46%,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46%,115,46%,115,66%,21,43%,94,50%,78,52%,36,48%,28,50%,14,46%,115,58%,83,30%,32,47%,103,37%,24,51%,79,46%,115,52%,11,52%,29,45%,43,42%,32,46%,54,50%,27,33%,15,71%,12,46%,115,43%,54,49%,61,46%,115,50%,15,40%,36,52%,34,42%,15,54%,15,,,,,,,,,,,,,,,46%,115,39%,32,53%,57,43%,26
