,,Total,,Total Consumer,,Usership,,,,,,Suatainability advocacy,,,,,,,,CRC/ CPN awareness,,,,,,,,,,NPS,,,,,,,,Gender,,,,,,Age,,,,,,,,,,Region,,,,,,,,,,,,,,Income,,,,,,,,Total Investor,,,,Investment,,,,,,highest proportion investment,,,,,,,,Industry,,,,,,Suatainability advocacy,,,,,,CRC/ CPN awareness,,,,,,,,,,NPS,,,,,,,,Gender,,,,,,Age,,,,,,,,,,,,Region,,,,,,,,,,,,,,Income,,,,,,,
,,Total,,Total Consumer,,Total,,CRC user,,Non CRC user,,Total,,Will buy the product/service even if it is more expensive than the regular product/service,,Will buy the product/service even if it is much more expensive than the regular product/service,,Will buy the product/service regardless of the price,,Total,,CRC Aware,,CPN Aware,,Both CRC and CPN Aware,,Non-aware,,Total,,Promoter,,Passive,,Detector,,Total,,Male,,Female,,Total,,25-29 yrs,,30-39 yrs,,40-49 yrs,,50-55 yrs,,Total,,GBKK,,UPC [Net],,Central,,North,,South,,Northeast,,Total,,A/A+,,B,,C,,Total Investor,,2,,Total,,CRC invester,,CRC non invester,,Total,,PTT,,CPALL,,OR,,Total,,Retail,,Non retail,,Total,,4,,5,,Total,,CRC Aware,,CPN Aware,,Both CRC and CPN Aware,,Non-aware,,Total,,Promoter,,Passive,,Detector,,Total,,Male,,Female,,Total,,25-29 yrs,,30-39 yrs,,40-49 yrs,,50-55 yrs,,>55 yrs,,Total,,GBKK,,UPC [Net],,Central,,North,,South,,Northeast,,Total,,A/A+,,B,,C,
,,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N
,Top 2 Boxes [4-5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bottom 3 Boxes [1-3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17) PTT,Total,100%,600,100%,371,100%,205,100%,163,100%,42,100%,174,100%,67,100%,52,100%,55,100%,371,100%,48,100%,49,100%,157,100%,117,100%,205,100%,79,100%,73,100%,53,100%,371,100%,186,100%,185,100%,371,100%,68,100%,115,100%,123,100%,65,100%,371,100%,184,100%,187,100%,48,100%,42,100%,48,100%,49,100%,371,100%,45,100%,94,100%,232,,,100%,229,100%,229,100%,31,100%,198,100%,147,100%,69,100%,51,100%,27,100%,229,100%,131,100%,98,100%,203,100%,62,100%,141,100%,229,100%,18,100%,47,100%,96,100%,68,100%,114,100%,54,100%,44,100%,16,100%,229,100%,116,100%,113,100%,229,100%,27,100%,82,100%,59,100%,35,100%,26,100%,371,100%,184,100%,187,100%,48,100%,42,100%,48,100%,49,100%,229,100%,76,100%,99,100%,54
,Not at all alignedl [=1],2%,9,1%,5,0%,1,1%,1,,,,,,,,,,,1%,5,,,2%,1,1%,1,3%,3,0%,1,,,,,2%,1,1%,5,2%,3,1%,2,1%,5,1%,1,1%,1,2%,2,2%,1,1%,5,2%,4,1%,1,,,,,2%,1,,,1%,5,,,,,2%,5,,,2%,4,2%,4,3%,1,2%,3,2%,3,,,2%,1,7%,2,2%,4,2%,2,2%,2,1%,2,2%,1,1%,1,2%,4,,,,,3%,3,1%,1,3%,3,2%,1,,,13%,2,2%,4,3%,3,1%,1,2%,4,,,2%,2,,,6%,2,,,1%,5,2%,4,1%,1,,,,,2%,1,,,2%,4,1%,1,1%,1,4%,2
,2 [=2],4%,26,6%,21,5%,10,4%,7,7%,3,3%,6,1%,1,2%,1,7%,4,6%,21,,,14%,7,6%,10,3%,4,5%,10,1%,1,7%,5,8%,4,6%,21,5%,9,6%,12,6%,21,4%,3,4%,5,6%,7,9%,6,6%,21,5%,10,6%,11,8%,4,7%,3,6%,3,2%,1,6%,21,4%,2,7%,7,5%,12,,,2%,5,2%,5,3%,1,2%,4,2%,3,1%,1,2%,1,4%,1,2%,5,2%,2,3%,3,0%,1,2%,1,,,2%,5,,,,,5%,5,,,4%,5,,,5%,2,19%,3,2%,5,3%,3,2%,2,2%,5,,,1%,1,3%,2,,,8%,2,6%,21,5%,10,6%,11,8%,4,7%,3,6%,3,2%,1,2%,5,3%,2,,,6%,3
,3 [=3],15%,89,17%,63,16%,33,15%,25,19%,8,12%,21,16%,11,17%,9,2%,1,17%,63,21%,10,8%,4,15%,23,22%,26,16%,33,5%,4,18%,13,30%,16,17%,63,18%,34,16%,29,17%,63,24%,16,18%,21,15%,18,12%,8,17%,63,20%,37,14%,26,15%,7,14%,6,15%,7,12%,6,17%,63,9%,4,12%,11,21%,48,,,11%,26,11%,26,6%,2,12%,24,10%,15,7%,5,10%,5,19%,5,11%,26,8%,11,15%,15,10%,21,23%,14,5%,7,11%,26,17%,3,4%,2,19%,18,4%,3,18%,21,7%,4,30%,13,25%,4,11%,26,13%,15,10%,11,11%,26,4%,1,7%,6,10%,6,14%,5,31%,8,17%,63,20%,37,14%,26,15%,7,14%,6,15%,7,12%,6,11%,26,11%,8,11%,11,13%,7
,4 [=4],29%,173,31%,114,30%,61,30%,49,29%,12,29%,50,37%,25,27%,14,20%,11,31%,114,27%,13,29%,14,31%,48,33%,39,30%,61,24%,19,38%,28,26%,14,31%,114,34%,63,28%,51,31%,114,31%,21,30%,35,32%,39,29%,19,31%,114,27%,50,34%,64,42%,20,26%,11,27%,13,41%,20,31%,114,31%,14,36%,34,28%,66,,,26%,59,26%,59,19%,6,27%,53,25%,37,20%,14,27%,14,33%,9,26%,59,24%,32,28%,27,24%,49,48%,30,13%,19,26%,59,33%,6,23%,11,30%,29,19%,13,31%,35,22%,12,41%,18,31%,5,26%,59,34%,40,17%,19,26%,59,26%,7,29%,24,20%,12,34%,12,15%,4,31%,114,27%,50,34%,64,42%,20,26%,11,27%,13,41%,20,26%,59,33%,25,21%,21,24%,13
,Extremely aligned [=5],51%,303,45%,168,49%,100,50%,81,45%,19,56%,97,45%,30,54%,28,71%,39,45%,168,52%,25,47%,23,48%,75,38%,45,49%,100,70%,55,37%,27,34%,18,45%,168,41%,77,49%,91,45%,168,40%,27,46%,53,46%,57,48%,31,45%,168,45%,83,45%,85,35%,17,52%,22,50%,24,45%,22,45%,168,56%,25,45%,42,44%,101,,,59%,135,59%,135,68%,21,58%,114,61%,89,71%,49,59%,30,37%,10,59%,135,64%,84,52%,51,64%,130,26%,16,81%,114,59%,135,50%,9,72%,34,43%,41,75%,51,44%,50,69%,37,25%,11,13%,2,59%,135,47%,55,71%,80,59%,135,70%,19,60%,49,66%,39,46%,16,46%,12,45%,168,45%,83,45%,85,35%,17,52%,22,50%,24,45%,22,59%,135,53%,40,67%,66,54%,29
,Top 2 Boxes [4-5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bottom 3 Boxes [1-3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18) Alibaba Group Holding,Total,100%,332,100%,209,100%,142,100%,115,100%,27,100%,83,100%,34,100%,24,100%,25,100%,209,100%,21,100%,23,100%,121,100%,44,100%,142,100%,48,100%,57,100%,37,100%,209,100%,106,100%,103,100%,209,100%,35,100%,67,100%,66,100%,41,100%,209,100%,107,100%,102,100%,26,100%,32,100%,23,100%,21,100%,209,100%,19,100%,54,100%,136,,,100%,123,100%,123,100%,25,100%,98,100%,72,100%,31,100%,23,100%,18,100%,123,100%,66,100%,57,100%,100,100%,41,100%,59,100%,123,100%,10,100%,14,100%,81,100%,18,100%,91,100%,40,100%,37,100%,14,100%,123,100%,77,100%,46,100%,123,100%,7,100%,47,100%,32,100%,20,100%,17,100%,209,100%,107,100%,102,100%,26,100%,32,100%,23,100%,21,100%,123,100%,49,100%,44,100%,30
,Not at all alignedl [=1],9%,29,9%,18,7%,10,7%,8,7%,2,1%,1,,,,,4%,1,9%,18,5%,1,13%,3,7%,9,11%,5,7%,10,4%,2,4%,2,16%,6,9%,18,9%,10,8%,8,9%,18,3%,1,6%,4,17%,11,5%,2,9%,18,8%,9,9%,9,12%,3,9%,3,13%,3,,,9%,18,5%,1,7%,4,10%,13,,,9%,11,9%,11,4%,1,10%,10,11%,8,6%,2,13%,3,17%,3,9%,11,11%,7,7%,4,5%,5,10%,4,2%,1,9%,11,10%,1,,,9%,7,17%,3,9%,8,5%,2,3%,1,36%,5,9%,11,10%,8,7%,3,9%,11,29%,2,9%,4,3%,1,5%,1,18%,3,9%,18,8%,9,9%,9,12%,3,9%,3,13%,3,,,9%,11,6%,3,5%,2,20%,6
,2 [=2],20%,66,23%,49,21%,30,18%,21,33%,9,18%,15,18%,6,21%,5,16%,4,23%,49,14%,3,30%,7,22%,27,27%,12,21%,30,10%,5,32%,18,19%,7,23%,49,23%,24,24%,25,23%,49,26%,9,21%,14,24%,16,24%,10,23%,49,25%,27,22%,22,31%,8,22%,7,9%,2,24%,5,23%,49,5%,1,24%,13,26%,35,,,14%,17,14%,17,8%,2,15%,15,14%,10,13%,4,13%,3,17%,3,14%,17,15%,10,12%,7,11%,11,20%,8,5%,3,14%,17,10%,1,14%,2,16%,13,6%,1,15%,14,8%,3,24%,9,14%,2,14%,17,14%,11,13%,6,14%,17,,,15%,7,16%,5,10%,2,18%,3,23%,49,25%,27,22%,22,31%,8,22%,7,9%,2,24%,5,14%,17,18%,9,5%,2,20%,6
,3 [=3],36%,119,37%,77,38%,54,37%,43,41%,11,29%,24,26%,9,38%,9,24%,6,37%,77,33%,7,35%,8,39%,47,34%,15,38%,54,27%,13,44%,25,43%,16,37%,77,33%,35,41%,42,37%,77,46%,16,33%,22,33%,22,41%,17,37%,77,33%,35,41%,42,35%,9,41%,13,48%,11,43%,9,37%,77,47%,9,35%,19,36%,49,,,34%,42,34%,42,28%,7,36%,35,35%,25,35%,11,48%,11,17%,3,34%,42,27%,18,42%,24,33%,33,44%,18,25%,15,34%,42,30%,3,43%,6,33%,27,33%,6,33%,30,25%,10,41%,15,36%,5,34%,42,35%,27,33%,15,34%,42,14%,1,30%,14,38%,12,30%,6,53%,9,37%,77,33%,35,41%,42,35%,9,41%,13,48%,11,43%,9,34%,42,39%,19,34%,15,27%,8
,4 [=4],20%,68,19%,40,20%,29,22%,25,15%,4,33%,27,38%,13,29%,7,28%,7,19%,40,24%,5,13%,3,20%,24,18%,8,20%,29,31%,15,16%,9,14%,5,19%,40,23%,24,16%,16,19%,40,14%,5,30%,20,14%,9,15%,6,19%,40,19%,20,20%,20,15%,4,19%,6,26%,6,19%,4,19%,40,42%,8,20%,11,15%,21,,,23%,28,23%,28,32%,8,20%,20,24%,17,32%,10,9%,2,28%,5,23%,28,26%,17,19%,11,27%,27,20%,8,32%,19,23%,28,30%,3,14%,2,22%,18,28%,5,23%,21,25%,10,24%,9,14%,2,23%,28,27%,21,15%,7,23%,28,14%,1,19%,9,28%,9,45%,9,,,19%,40,19%,20,20%,20,15%,4,19%,6,26%,6,19%,4,23%,28,20%,10,27%,12,20%,6
,Extremely aligned [=5],15%,50,12%,25,13%,19,16%,18,4%,1,19%,16,18%,6,13%,3,28%,7,12%,25,24%,5,9%,2,12%,14,9%,4,13%,19,27%,13,5%,3,8%,3,12%,25,12%,13,12%,12,12%,25,11%,4,10%,7,12%,8,15%,6,12%,25,15%,16,9%,9,8%,2,9%,3,4%,1,14%,3,12%,25,,,13%,7,13%,18,,,20%,25,20%,25,28%,7,18%,18,17%,12,13%,4,17%,4,22%,4,20%,25,21%,14,19%,11,24%,24,7%,3,36%,21,20%,25,20%,2,29%,4,20%,16,17%,3,20%,18,38%,15,8%,3,,,20%,25,13%,10,33%,15,20%,25,43%,3,28%,13,16%,5,10%,2,12%,2,12%,25,15%,16,9%,9,8%,2,9%,3,4%,1,14%,3,20%,25,16%,8,30%,13,13%,4
,Top 2 Boxes [4-5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bottom 3 Boxes [1-3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19) SEA Limited,Total,100%,108,100%,53,100%,49,100%,42,100%,7,100%,27,100%,12,100%,6,100%,9,100%,53,100%,5,100%,1,100%,44,100%,3,100%,49,100%,22,100%,18,100%,9,100%,53,100%,22,100%,31,100%,53,100%,9,100%,13,100%,17,100%,14,100%,53,100%,24,100%,29,100%,6,100%,6,100%,9,100%,8,100%,53,100%,6,100%,18,100%,29,,,100%,55,100%,55,100%,15,100%,40,100%,29,100%,13,100%,6,100%,10,100%,55,100%,32,100%,23,100%,52,100%,18,100%,34,100%,55,100%,2,100%,3,100%,48,100%,2,100%,50,100%,23,100%,23,100%,4,100%,55,100%,29,100%,26,100%,55,100%,4,100%,23,100%,17,100%,6,100%,5,100%,53,100%,24,100%,29,100%,6,100%,6,100%,9,100%,8,100%,55,100%,24,100%,23,100%,8
,Not at all alignedl [=1],3%,3,2%,1,2%,1,2%,1,,,4%,1,8%,1,,,,,2%,1,,,,,2%,1,,,2%,1,,,6%,1,,,2%,1,5%,1,,,2%,1,,,,,,,7%,1,2%,1,,,3%,1,,,,,,,13%,1,2%,1,,,6%,1,,,,,4%,2,4%,2,,,5%,2,3%,1,,,,,10%,1,4%,2,3%,1,4%,1,2%,1,,,3%,1,4%,2,,,,,4%,2,,,4%,2,4%,1,,,25%,1,4%,2,3%,1,4%,1,4%,2,,,4%,1,,,17%,1,,,2%,1,,,3%,1,,,,,,,13%,1,4%,2,4%,1,,,13%,1
,2 [=2],12%,13,9%,5,8%,4,10%,4,,,4%,1,,,,,11%,1,9%,5,,,,,9%,4,33%,1,8%,4,,,6%,1,33%,3,9%,5,14%,3,6%,2,9%,5,11%,1,,,,,29%,4,9%,5,8%,2,10%,3,,,33%,2,11%,1,,,9%,5,17%,1,17%,3,3%,1,,,15%,8,15%,8,7%,1,18%,7,17%,5,15%,2,17%,1,20%,2,15%,8,13%,4,17%,4,12%,6,22%,4,6%,2,15%,8,,,,,17%,8,,,16%,8,9%,2,26%,6,,,15%,8,17%,5,12%,3,15%,8,,,26%,6,,,17%,1,20%,1,9%,5,8%,2,10%,3,,,33%,2,11%,1,,,15%,8,17%,4,9%,2,25%,2
,3 [=3],27%,29,23%,12,22%,11,14%,6,71%,5,26%,7,17%,2,83%,5,,,23%,12,40%,2,,,20%,9,33%,1,22%,11,14%,3,22%,4,44%,4,23%,12,18%,4,26%,8,23%,12,44%,4,23%,3,24%,4,7%,1,23%,12,25%,6,21%,6,33%,2,,,22%,2,25%,2,23%,12,50%,3,17%,3,21%,6,,,31%,17,31%,17,20%,3,35%,14,38%,11,31%,4,33%,2,50%,5,31%,17,28%,9,35%,8,33%,17,56%,10,21%,7,31%,17,100%,2,33%,1,27%,13,50%,1,30%,15,17%,4,35%,8,75%,3,31%,17,38%,11,23%,6,31%,17,25%,1,26%,6,41%,7,,,60%,3,23%,12,25%,6,21%,6,33%,2,,,22%,2,25%,2,31%,17,42%,10,22%,5,25%,2
,4 [=4],29%,31,34%,18,33%,16,36%,15,14%,1,19%,5,17%,2,,,33%,3,34%,18,40%,2,100%,1,32%,14,33%,1,33%,16,27%,6,50%,9,11%,1,34%,18,32%,7,35%,11,34%,18,22%,2,46%,6,35%,6,29%,4,34%,18,33%,8,34%,10,33%,2,33%,2,44%,4,25%,2,34%,18,17%,1,22%,4,45%,13,,,24%,13,24%,13,33%,5,20%,8,14%,4,23%,3,17%,1,,,24%,13,22%,7,26%,6,25%,13,11%,2,32%,11,24%,13,,,,,25%,12,50%,1,24%,12,26%,6,26%,6,,,24%,13,38%,11,8%,2,24%,13,,,17%,4,35%,6,50%,3,,,34%,18,33%,8,34%,10,33%,2,33%,2,44%,4,25%,2,24%,13,21%,5,30%,7,13%,1
,Extremely aligned [=5],30%,32,32%,17,35%,17,38%,16,14%,1,48%,13,58%,7,17%,1,56%,5,32%,17,20%,1,,,36%,16,,,35%,17,59%,13,17%,3,11%,1,32%,17,32%,7,32%,10,32%,17,22%,2,31%,4,41%,7,29%,4,32%,17,33%,8,31%,9,33%,2,33%,2,22%,2,38%,3,32%,17,17%,1,39%,7,31%,9,,,27%,15,27%,15,40%,6,23%,9,28%,8,31%,4,33%,2,20%,2,27%,15,34%,11,17%,4,29%,15,11%,2,38%,13,27%,15,,,67%,2,27%,13,,,26%,13,43%,10,13%,3,,,27%,15,3%,1,54%,14,27%,15,75%,3,26%,6,24%,4,17%,1,20%,1,32%,17,33%,8,31%,9,33%,2,33%,2,22%,2,38%,3,27%,15,17%,4,39%,9,25%,2
,Top 2 Boxes [4-5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bottom 3 Boxes [1-3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20) King Power,Total,100%,397,100%,266,100%,179,100%,147,100%,32,100%,112,100%,41,100%,35,100%,36,100%,266,100%,31,100%,39,100%,148,100%,48,100%,179,100%,67,100%,64,100%,48,100%,266,100%,127,100%,139,100%,266,100%,48,100%,86,100%,82,100%,50,100%,266,100%,133,100%,133,100%,32,100%,35,100%,38,100%,28,100%,266,100%,34,100%,64,100%,168,,,100%,131,100%,131,100%,25,100%,106,100%,77,100%,32,100%,22,100%,23,100%,131,100%,63,100%,68,100%,112,100%,45,100%,67,100%,131,100%,10,100%,18,100%,89,100%,14,100%,99,100%,43,100%,40,100%,16,100%,131,100%,78,100%,53,100%,131,100%,12,100%,49,100%,33,100%,20,100%,17,100%,266,100%,133,100%,133,100%,32,100%,35,100%,38,100%,28,100%,131,100%,52,100%,51,100%,28
,Not at all alignedl [=1],10%,41,11%,28,8%,15,8%,12,9%,3,4%,5,,,6%,2,8%,3,11%,28,6%,2,21%,8,9%,13,10%,5,8%,15,4%,3,8%,5,15%,7,11%,28,14%,18,7%,10,11%,28,6%,3,7%,6,12%,10,18%,9,11%,28,11%,15,10%,13,13%,4,9%,3,11%,4,7%,2,11%,28,6%,2,8%,5,13%,21,,,10%,13,10%,13,4%,1,11%,12,8%,6,3%,1,9%,2,13%,3,10%,13,11%,7,9%,6,8%,9,11%,5,6%,4,10%,13,,,6%,1,12%,11,7%,1,11%,11,7%,3,10%,4,25%,4,10%,13,9%,7,11%,6,10%,13,,,6%,3,9%,3,20%,4,18%,3,11%,28,11%,15,10%,13,13%,4,9%,3,11%,4,7%,2,10%,13,10%,5,8%,4,14%,4
,2 [=2],19%,77,21%,57,18%,33,15%,22,34%,11,13%,14,17%,7,11%,4,8%,3,21%,57,19%,6,23%,9,18%,27,31%,15,18%,33,7%,5,23%,15,27%,13,21%,57,24%,30,19%,27,21%,57,23%,11,20%,17,23%,19,20%,10,21%,57,20%,26,23%,31,34%,11,26%,9,21%,8,11%,3,21%,57,6%,2,19%,12,26%,43,,,15%,20,15%,20,8%,2,17%,18,16%,12,16%,5,14%,3,17%,4,15%,20,17%,11,13%,9,13%,15,22%,10,7%,5,15%,20,10%,1,,,19%,17,14%,2,18%,18,9%,4,25%,10,25%,4,15%,20,18%,14,11%,6,15%,20,8%,1,6%,3,15%,5,20%,4,41%,7,21%,57,20%,26,23%,31,34%,11,26%,9,21%,8,11%,3,15%,20,19%,10,10%,5,18%,5
,3 [=3],30%,118,32%,86,35%,63,35%,51,38%,12,25%,28,24%,10,40%,14,11%,4,32%,86,42%,13,26%,10,34%,50,27%,13,35%,63,19%,13,42%,27,48%,23,32%,86,24%,31,40%,55,32%,86,38%,18,33%,28,28%,23,34%,17,32%,86,35%,46,30%,40,28%,9,31%,11,26%,10,36%,10,32%,86,32%,11,33%,21,32%,54,,,24%,32,24%,32,28%,7,24%,25,29%,22,28%,9,36%,8,22%,5,24%,32,22%,14,26%,18,22%,25,36%,16,13%,9,24%,32,10%,1,28%,5,26%,23,21%,3,24%,24,12%,5,40%,16,19%,3,24%,32,32%,25,13%,7,24%,32,8%,1,37%,18,18%,6,15%,3,24%,4,32%,86,35%,46,30%,40,28%,9,31%,11,26%,10,36%,10,24%,32,25%,13,20%,10,32%,9
,4 [=4],26%,104,24%,63,26%,47,30%,44,9%,3,35%,39,41%,17,34%,12,28%,10,24%,63,19%,6,21%,8,28%,41,17%,8,26%,47,42%,28,23%,15,8%,4,24%,63,28%,35,20%,28,24%,63,21%,10,28%,24,22%,18,22%,11,24%,63,25%,33,23%,30,13%,4,17%,6,29%,11,32%,9,24%,63,29%,10,23%,15,23%,38,,,31%,41,31%,41,28%,7,32%,34,30%,23,28%,9,27%,6,35%,8,31%,41,32%,20,31%,21,35%,39,27%,12,40%,27,31%,41,60%,6,39%,7,27%,24,29%,4,30%,30,44%,19,15%,6,31%,5,31%,41,29%,23,34%,18,31%,41,42%,5,37%,18,30%,10,35%,7,6%,1,24%,63,25%,33,23%,30,13%,4,17%,6,29%,11,32%,9,31%,41,29%,15,39%,20,21%,6
,Extremely aligned [=5],14%,57,12%,32,12%,21,12%,18,9%,3,23%,26,17%,7,9%,3,44%,16,12%,32,13%,4,10%,4,11%,17,15%,7,12%,21,27%,18,3%,2,2%,1,12%,32,10%,13,14%,19,12%,32,13%,6,13%,11,15%,12,6%,3,12%,32,10%,13,14%,19,13%,4,17%,6,13%,5,14%,4,12%,32,26%,9,17%,11,7%,12,,,19%,25,19%,25,32%,8,16%,17,18%,14,25%,8,14%,3,13%,3,19%,25,17%,11,21%,14,21%,24,4%,2,33%,22,19%,25,20%,2,28%,5,16%,14,29%,4,16%,16,28%,12,10%,4,,,19%,25,12%,9,30%,16,19%,25,42%,5,14%,7,27%,9,10%,2,12%,2,12%,32,10%,13,14%,19,13%,4,17%,6,13%,5,14%,4,19%,25,17%,9,24%,12,14%,4
,Top 2 Boxes [4-5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bottom 3 Boxes [1-3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21) Pomelo Fashion,Total,100%,163,100%,92,100%,77,100%,66,100%,11,100%,40,100%,15,100%,10,100%,15,100%,92,100%,10,100%,5,100%,67,100%,10,100%,77,100%,26,100%,34,100%,17,100%,92,100%,28,100%,64,100%,92,100%,25,100%,31,100%,21,100%,15,100%,92,100%,43,100%,49,100%,13,100%,10,100%,16,100%,10,100%,92,100%,7,100%,30,100%,55,,,100%,71,100%,71,100%,17,100%,54,100%,42,100%,21,100%,9,100%,12,100%,71,100%,40,100%,31,100%,65,100%,21,100%,44,100%,71,100%,1,100%,6,100%,59,100%,5,100%,60,100%,33,100%,22,100%,5,100%,71,100%,34,100%,37,100%,71,100%,7,100%,29,100%,19,100%,8,100%,8,100%,92,100%,43,100%,49,100%,13,100%,10,100%,16,100%,10,100%,71,100%,27,100%,34,100%,10
,Not at all alignedl [=1],15%,24,16%,15,13%,10,12%,8,18%,2,10%,4,7%,1,20%,2,7%,1,16%,15,10%,1,60%,3,13%,9,20%,2,13%,10,8%,2,9%,3,29%,5,16%,15,25%,7,13%,8,16%,15,16%,4,10%,3,29%,6,13%,2,16%,15,9%,4,22%,11,23%,3,30%,3,25%,4,10%,1,16%,15,14%,1,20%,6,15%,8,,,13%,9,13%,9,,,17%,9,17%,7,19%,4,,,25%,3,13%,9,13%,5,13%,4,12%,8,19%,4,9%,4,13%,9,,,,,15%,9,,,15%,9,12%,4,9%,2,60%,3,13%,9,9%,3,16%,6,13%,9,,,3%,1,11%,2,13%,1,63%,5,16%,15,9%,4,22%,11,23%,3,30%,3,25%,4,10%,1,13%,9,15%,4,6%,2,30%,3
,2 [=2],15%,25,16%,15,13%,10,14%,9,9%,1,10%,4,20%,3,10%,1,,,16%,15,10%,1,20%,1,13%,9,40%,4,13%,10,8%,2,12%,4,24%,4,16%,15,7%,2,20%,13,16%,15,28%,7,19%,6,5%,1,7%,1,16%,15,21%,9,12%,6,23%,3,,,13%,2,10%,1,16%,15,,,10%,3,22%,12,,,14%,10,14%,10,6%,1,17%,9,14%,6,10%,2,11%,1,25%,3,14%,10,13%,5,16%,5,11%,7,24%,5,5%,2,14%,10,,,,,17%,10,,,17%,10,9%,3,23%,5,40%,2,14%,10,18%,6,11%,4,14%,10,14%,1,14%,4,16%,3,13%,1,13%,1,16%,15,21%,9,12%,6,23%,3,,,13%,2,10%,1,14%,10,11%,3,15%,5,20%,2
